# vi: ts=30 sw=30
i1210	Motor 12 Power-On Servo Position Address	Motor Definition I-Variables
i1310	Motor 13 Power-On Servo Position Address	Motor Definition I-Variables
i1410	Motor 14 Power-On Servo Position Address	Motor Definition I-Variables
i1510	Motor 15 Power-On Servo Position Address	Motor Definition I-Variables
i1610	Motor 16 Power-On Servo Position Address	Motor Definition I-Variables
i1710	Motor 17 Power-On Servo Position Address	Motor Definition I-Variables
i1810	Motor 18 Power-On Servo Position Address	Motor Definition I-Variables
i1910	Motor 19 Power-On Servo Position Address	Motor Definition I-Variables
i2010	Motor 20 Power-On Servo Position Address	Motor Definition I-Variables
i2110	Motor 21 Power-On Servo Position Address	Motor Definition I-Variables
i2210	Motor 22 Power-On Servo Position Address	Motor Definition I-Variables
i2310	Motor 23 Power-On Servo Position Address	Motor Definition I-Variables
i2410	Motor 24 Power-On Servo Position Address	Motor Definition I-Variables
i2510	Motor 25 Power-On Servo Position Address	Motor Definition I-Variables
i2610	Motor 26 Power-On Servo Position Address	Motor Definition I-Variables
i2710	Motor 27 Power-On Servo Position Address	Motor Definition I-Variables
i2810	Motor 28 Power-On Servo Position Address	Motor Definition I-Variables
i2910	Motor 29 Power-On Servo Position Address	Motor Definition I-Variables
i3010	Motor 30 Power-On Servo Position Address	Motor Definition I-Variables
i3110	Motor 31 Power-On Servo Position Address	Motor Definition I-Variables
i3210	Motor 32 Power-On Servo Position Address	Motor Definition I-Variables
i111	Motor 1 Fatal Following Error Limit	Motor Safety I-Variables
i211	Motor 2 Fatal Following Error Limit	Motor Safety I-Variables
i311	Motor 3 Fatal Following Error Limit	Motor Safety I-Variables
i411	Motor 4 Fatal Following Error Limit	Motor Safety I-Variables
i511	Motor 5 Fatal Following Error Limit	Motor Safety I-Variables
i611	Motor 6 Fatal Following Error Limit	Motor Safety I-Variables
i711	Motor 7 Fatal Following Error Limit	Motor Safety I-Variables
i811	Motor 8 Fatal Following Error Limit	Motor Safety I-Variables
i911	Motor 9 Fatal Following Error Limit	Motor Safety I-Variables
i1011	Motor 10 Fatal Following Error Limit	Motor Safety I-Variables
i1111	Motor 11 Fatal Following Error Limit	Motor Safety I-Variables
i1211	Motor 12 Fatal Following Error Limit	Motor Safety I-Variables
i1311	Motor 13 Fatal Following Error Limit	Motor Safety I-Variables
i1411	Motor 14 Fatal Following Error Limit	Motor Safety I-Variables
i1511	Motor 15 Fatal Following Error Limit	Motor Safety I-Variables
i1611	Motor 16 Fatal Following Error Limit	Motor Safety I-Variables
i1711	Motor 17 Fatal Following Error Limit	Motor Safety I-Variables
i1811	Motor 18 Fatal Following Error Limit	Motor Safety I-Variables
i1911	Motor 19 Fatal Following Error Limit	Motor Safety I-Variables
i2011	Motor 20 Fatal Following Error Limit	Motor Safety I-Variables
i2111	Motor 21 Fatal Following Error Limit	Motor Safety I-Variables
i2211	Motor 22 Fatal Following Error Limit	Motor Safety I-Variables
i2311	Motor 23 Fatal Following Error Limit	Motor Safety I-Variables
i2411	Motor 24 Fatal Following Error Limit	Motor Safety I-Variables
i2511	Motor 25 Fatal Following Error Limit	Motor Safety I-Variables
i2611	Motor 26 Fatal Following Error Limit	Motor Safety I-Variables
i2711	Motor 27 Fatal Following Error Limit	Motor Safety I-Variables
i2811	Motor 28 Fatal Following Error Limit	Motor Safety I-Variables
i2911	Motor 29 Fatal Following Error Limit	Motor Safety I-Variables
i3011	Motor 30 Fatal Following Error Limit	Motor Safety I-Variables
i3111	Motor 31 Fatal Following Error Limit	Motor Safety I-Variables
i3211	Motor 32 Fatal Following Error Limit	Motor Safety I-Variables
