# vi: ts=30 sw=30
i1505	Motor 15 Master Position Address	Motor Definition I-Variables	87
i1605	Motor 16 Master Position Address	Motor Definition I-Variables	87
i1705	Motor 17 Master Position Address	Motor Definition I-Variables	87
i1805	Motor 18 Master Position Address	Motor Definition I-Variables	87
i1905	Motor 19 Master Position Address	Motor Definition I-Variables	87
i2005	Motor 20 Master Position Address	Motor Definition I-Variables	87
i2105	Motor 21 Master Position Address	Motor Definition I-Variables	87
i2205	Motor 22 Master Position Address	Motor Definition I-Variables	87
i2305	Motor 23 Master Position Address	Motor Definition I-Variables	87
i2405	Motor 24 Master Position Address	Motor Definition I-Variables	87
i2505	Motor 25 Master Position Address	Motor Definition I-Variables	87
i2605	Motor 26 Master Position Address	Motor Definition I-Variables	87
i2705	Motor 27 Master Position Address	Motor Definition I-Variables	87
i2805	Motor 28 Master Position Address	Motor Definition I-Variables	87
i2905	Motor 29 Master Position Address	Motor Definition I-Variables	87
i3005	Motor 30 Master Position Address	Motor Definition I-Variables	87
i3105	Motor 31 Master Position Address	Motor Definition I-Variables	87
i3205	Motor 32 Master Position Address	Motor Definition I-Variables	87
i106	Motor 1 Position Following Enable and Mode	Motor Definition I-Variables	87
i206	Motor 2 Position Following Enable and Mode	Motor Definition I-Variables	87
i306	Motor 3 Position Following Enable and Mode	Motor Definition I-Variables	87
i406	Motor 4 Position Following Enable and Mode	Motor Definition I-Variables	87
i506	Motor 5 Position Following Enable and Mode	Motor Definition I-Variables	87
i606	Motor 6 Position Following Enable and Mode	Motor Definition I-Variables	87
i706	Motor 7 Position Following Enable and Mode	Motor Definition I-Variables	87
i806	Motor 8 Position Following Enable and Mode	Motor Definition I-Variables	87
i906	Motor 9 Position Following Enable and Mode	Motor Definition I-Variables	87
i1006	Motor 10 Position Following Enable and Mode	Motor Definition I-Variables	87
i1106	Motor 11 Position Following Enable and Mode	Motor Definition I-Variables	87
i1206	Motor 12 Position Following Enable and Mode	Motor Definition I-Variables	87
i1306	Motor 13 Position Following Enable and Mode	Motor Definition I-Variables	87
i1406	Motor 14 Position Following Enable and Mode	Motor Definition I-Variables	87
